"Description"	"Symbole"	"Titre"	"Sous-catégorie"	"Type"	"Acheteur"	"Vendeur"	"Clôture"	"Devise prix"	"RM (%)"	"Rend. éché. - Marché (%)"	"Exclu de la facturation"
"-CUBE MICROSYSTEMS INC *"	""	"101705"	"Actions ordinaires"	"330"	"12,500"	"12,500"	"0,000"	"USD"	"n/d"	""	"Non"
"!ALTAENGYCB-068.520DC40**"	""	"R13021"	"Obligations (autres)"	"2606000"	"100,596"	"100,596"	"100,596"	"CAD"	"8,45"	"8,444166"	"Non"
"!RONA INC"	""	"306470"	"Actions ordinaires"	"330"	"27,800"	"28,100"	"28,100"	"CAD"	"n/d"	""	"Non"
"01 COMMUNIQUE LAB INC"	"ONE"	"506391"	"Actions ordinaires"	"330"	"0,235"	"0,245"	"0,235"	"CAD"	"n/d"	""	"Non"
"1000-GOLD CERT-CIBC-TR OZ"	""	"995534"	"Fonds d'investissement"	"331"	"279,800"	"279,800"	"279,800"	"USD"	"n/d"	""	"Non"
"100THS-WINBURY MTG PFD A"	""	"982475"	"Fonds d'investissement"	"331"	"0,829"	"0,829"	"0,829"	"CAD"	"n/d"	""	"Non"
"20/20 AM TAA DSC"	"TTG780"	"997755"	"Fonds d'investissement"	"3807600"	"17,195"	"17,195"	"17,195"	"CAD"	"n/d"	""	"Non"
"20/20 CDN A/ALLOC *"	""	"997684"	"Fonds de placement en répartition de l'actif"	"3807600"	"10,000"	"10,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"20/20 FGN RSP BD DSC"	"TTG671"	"998159"	"Fonds d'investissement"	"3807750"	"4,730"	"4,730"	"4,730"	"CAD"	"n/d"	""	"Non"
"20/20 WORLD BD DSC"	"TTG687"	"997789"	"Fonds d'investissement"	"3807750"	"10,230"	"10,230"	"10,230"	"CAD"	"n/d"	""	"Non"
"21ST CENTURY TECH INC *"	"TFCT"	"685242"	"Actions ordinaires"	"330"	"0,004"	"0,004"	"0,004"	"USD"	"n/d"	""	"Non"
"21ST CENTURY TECHS"	"TFCYQ"	"685243"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"USD"	"n/d"	""	"Non"
"360NETWORKS INC"	""	"665971"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"3COM CORP"	"COMS"	"665750"	"Actions ordinaires"	"315"	"7,510"	"7,520"	"7,520"	"USD"	"n/d"	""	"Non"
"3DFX INTERACTIVE"	"TDFXQ"	"665754"	"Actions ordinaires"	"330"	"0,001"	"0,001"	"0,001"	"USD"	"n/d"	""	"Non"
"3EEE INC *"	"TEEZ"	"665977"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,030"	"USD"	"n/d"	""	"Non"
"3M COMPANY"	"MMM"	"666038"	"Actions ordinaires"	"315"	"81,850"	"81,870"	"81,830"	"USD"	"2,49"	""	"Non"
"407 INTL CB 4.9% 4OC10"	""	"T49445"	"Obligations (autres)"	"2606000"	"102,714"	"102,714"	"102,714"	"CAD"	"4,77"	"0,940171"	"Non"
"527878 B.C. LTD CL-A-RSTD"	""	"262727"	"Actions ordinaires"	"330"	"2,370"	"2,370"	"2,370"	"CAD"	"n/d"	""	"Non"
"5N PLUS INC"	"VNP"	"260983"	"Actions ordinaires"	"330"	"5,420"	"5,450"	"5,420"	"CAD"	"n/d"	""	"Non"
"6550568 CANADA INC *"	""	"618249"	"Actions ordinaires"	"330"	"0,010"	"0,010"	"0,000"	"CAD"	"n/d"	""	"Non"
"885"	""	"9~0005"	"Acceptations bancaires"	"MAN"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	"n/d"	"Non"
"99 CENTS ONLY STORES"	"NDN"	"486900"	"Actions ordinaires"	"315"	"12,760"	"12,770"	"12,770"	"USD"	"n/d"	""	"Non"
"AAER INC"	"AAE"	"033772"	"Actions ordinaires"	"330"	"0,085"	"0,090"	"0,085"	"CAD"	"n/d"	""	"Non"
"AAT CPG 4% 17DC10CA"	""	"R09866"	"Certificats de dépôt (intérêts composés)"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,00"	"4,000000"	"Non"
"AAT CPG 3.65% 11AU10A"	""	"R05336"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"3,65"	"3,650000"	"Non"
"AAT CPG 4% 6DC10A"	""	"R06919"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,00"	"4,000000"	"Non"
"AAT CPG 4.3% 4AU11A"	""	"R09077"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,30"	"4,300000"	"Non"
"AAT CPG 4.3% 8DC11A"	""	"R09782"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,30"	"4,300000"	"Non"
"AAT CPG 4.3% 15DC11A"	""	"R09831"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,30"	"4,300000"	"Non"
"AAT CPG 4.3% 21SP11A"	""	"R06482"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,30"	"4,300000"	"Non"
"AAT CPG 4.3% 23SP11A"	""	"R09312"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,30"	"4,300000"	"Non"
"AAT CPG 4.3% 30SP11A"	""	"R09383"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,30"	"4,300000"	"Non"
"AAT CPG 4.4% 2OC12A"	""	"R09423"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,40"	"4,400000"	"Non"
"AAT CPG 4.5% 1OC13CA"	""	"R09408"	"Certificats de dépôt (intérêts composés)"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,50"	"4,500000"	"Non"
"AAT CPG 4.5% 30SP13A"	""	"R09388"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,50"	"4,500000"	"Non"
"AAT CPG 4.7% 16DC13A"	""	"R09842"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,70"	"4,700000"	"Non"
"AAT CPG 4.7% 16DC13A"	""	"R09855"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,70"	"4,700000"	"Non"
"AAT CPG 4.7% 18DC13A"	""	"R09886"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,70"	"4,700000"	"Non"
"AAT CPG 4.9% 12JL10A"	""	"R07536"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,90"	"4,900000"	"Non"
"AAT CPG 4.15% 12MI11A"	""	"R08273"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,15"	"4,150000"	"Non"
"AAT CPG 4.15% 28MI10A"	""	"R08407"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,15"	"4,150000"	"Non"
"AAT CPG 4.25% 12SP11A"	""	"R09205"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,25"	"4,250000"	"Non"
"AAT CPG 4.35% 19JL10A"	""	"R08911"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,35"	"4,350000"	"Non"
"AAT CPG 4.55% 25JL11A"	""	"R08974"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,55"	"4,550000"	"Non"
"AAT CPG 4.55% 18JL11CA"	""	"R08927"	"Certificats de dépôt (intérêts composés)"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,55"	"4,550000"	"Non"
"AAT CPG 4.55% 18JL11CA"	""	"R10296"	"Certificats de dépôt (intérêts composés)"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,55"	"4,550000"	"Non"
"AAT CPG 4.65% 25JL13A"	""	"R09016"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,65"	"4,650000"	"Non"
"AAT CPG 4.75% 11JL13A"	""	"R08847"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"4,75"	"4,750000"	"Non"
"AAT CPG G/R S23/FR/N"	"AAT123"	"926569"	"Fonds de valeurs à revenu fixe"	"3807245"	"100,000"	"100,000"	"100,000"	"CAD"	"n/d"	""	"Non"
"AB ELECTROLUX SPONS ADR"	"ELUXY"	"007377"	"Actions ordinaires"	"3308000"	"0,000"	"0,000"	"48,180"	"USD"	"5,92"	""	"Non"
"AB-EQUI"	""	"762800"	"Fonds d'obligations canadiennes et fonds à revenu"	"3807700"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"ABACAN RESOURCE CORP"	"ABACQ"	"000543"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"USD"	"n/d"	""	"Non"
"ABACUS SOFTWARE GROUP INC"	""	"000565"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"ABB LTD ADR"	"ABB"	"000676"	"Actions ordinaires"	"3158000"	"18,480"	"18,490"	"18,470"	"USD"	"2,41"	""	"Non"
"ABBOTT LABORATORIES"	"ABT"	"001388"	"Actions ordinaires"	"315"	"54,710"	"54,740"	"54,700"	"USD"	"2,93"	""	"Non"
"ABER DIAMOND CORP *"	"ABZ"	"001708"	"Actions ordinaires"	"315"	"0,000"	"37,313"	"0,000"	"CAD"	"2,84"	""	"Non"
"ABERCROMBIE & FITCH CO-A-"	"ANF"	"001541"	"Actions ordinaires"	"315"	"30,410"	"30,430"	"30,450"	"USD"	"2,30"	""	"Non"
"ABERDEEN ASIA-PAC INC FND"	"FAX"	"001742"	"Actions ordinaires"	"3308015"	"6,440"	"6,460"	"6,450"	"USD"	"6,51"	""	"Non"
"ABERDEEN ASIA-PACIFIC INC"	"FAP"	"001761"	"Fonds à capitalisation fermée: Obligations"	"330"	"6,420"	"6,440"	"6,420"	"CAD"	"9,35"	""	"Non"
"ABERDEEN G7 T/U"	"GSV.UN"	"001812"	"Fiducies de redevances"	"3308001"	"6,500"	"6,890"	"6,500"	"CAD"	"11,08"	""	"Non"
"ABITIBIBOWATER CDA-EXCH"	"AXB"	"082163"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"ABITIBIBOWATER INC"	"ABH"	"002826"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,120"	"USD"	"n/d"	""	"Non"
"ABN AMRO HLDG NV SP-ADR *"	"ABN"	"000287"	"Actions ordinaires"	"3158000"	"0,000"	"0,000"	"50,250"	"USD"	"3,15"	""	"Non"
"ACADIAN TIMBER CORP"	"ADN"	"004372"	"Actions ordinaires"	"330"	"6,350"	"6,450"	"6,300"	"CAD"	"3,18"	""	"Non"
"ACADIAN TIMBER INCM PA*"	"ADN.UN"	"004364"	"Fiducies de redevances"	"3308001"	"6,360"	"6,450"	"6,440"	"CAD"	"3,11"	""	"Non"
"ACASTI PHARMA INC CL-A"	""	"000682"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"ACC BANC BNC 9MR10"	""	"L05144"	"Acceptations bancaires"	"2302100"	"0,000"	"99,959"	"0,000"	"CAD"	"n/d"	"0,348166"	"Non"
"ACC BANC BNC 22MR10"	""	"L05153"	"Acceptations bancaires"	"2302100"	"99,946"	"99,946"	"99,946"	"CAD"	"n/d"	"0,352154"	"Non"
"ACC BANC BNC 26MR10"	""	"L05162"	"Acceptations bancaires"	"2302100"	"99,956"	"99,956"	"99,956"	"CAD"	"n/d"	"0,267784"	"Non"
"ACCELRATE POWER SYSTEMS *"	"APS"	"004401"	"Actions ordinaires"	"330"	"0,015"	"0,020"	"0,015"	"CAD"	"n/d"	""	"Non"
"ACCENTURE LTD-CL-A *"	"ACN"	"004391"	"Actions ordinaires"	"315"	"33,080"	"33,100"	"33,000"	"USD"	"1,52"	""	"Non"
"ACCENTURE PLC CL-A"	"ACN"	"004396"	"Actions ordinaires"	"315"	"41,900"	"41,930"	"41,880"	"USD"	"n/d"	""	"Non"
"ACCESS ANYTIME BANCORP *"	"AABC"	"004352"	"Actions ordinaires"	"330"	"18,450"	"19,900"	"18,950"	"USD"	"n/d"	""	"Non"
"ACCO BRANDS CORP"	"ABD"	"004537"	"Actions ordinaires"	"315"	"8,140"	"8,160"	"8,160"	"USD"	"n/d"	""	"Non"
"ACCORD FINANCIAL CORP"	"ACD"	"004421"	"Actions ordinaires"	"330"	"5,500"	"5,690"	"5,500"	"CAD"	"4,73"	""	"Non"
"ACD SYSTEMS INTL INC"	"ASA"	"000288"	"Actions ordinaires"	"330"	"0,560"	"0,570"	"0,560"	"CAD"	"n/d"	""	"Non"
"ACE AVIATION HLDGS-A RV"	"ACE.A"	"004516"	"Actions ordinaires"	"315"	"6,150"	"6,300"	"6,150"	"CAD"	"n/d"	""	"Non"
"ACE AVIATION HLDGS-B VTG"	"ACE.B"	"004517"	"Actions ordinaires"	"330"	"6,130"	"6,200"	"6,130"	"CAD"	"n/d"	""	"Non"
"ACE LTD-NEW"	"ACE"	"004462"	"Actions ordinaires"	"315"	"48,410"	"48,430"	"48,440"	"USD"	"2,56"	""	"Non"
"ACER CAPITAL CORP *"	""	"004882"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"ACETO CORP"	"ACET"	"004440"	"Actions ordinaires"	"330"	"5,440"	"5,450"	"5,450"	"USD"	"3,67"	""	"Non"
"ACFA 4.65% 15JN17"	""	"B83773"	"Obligations provinciales"	"2601305"	"107,552"	"107,552"	"107,552"	"CAD"	"4,32"	"3,481269"	"Non"
"ACM INCOME FUND *"	"ACG"	"000380"	"Actions ordinaires"	"3308015"	"8,250"	"8,250"	"0,000"	"USD"	"0,00"	""	"Non"
"ACREX VENTURES LTD"	"AKV"	"005100"	"Actions ordinaires"	"330"	"0,065"	"0,070"	"0,070"	"CAD"	"n/d"	""	"Non"
"ACT CR PME S1-07/S/N"	"FIA110"	"975816"	"Fonds d'actions canadiennes"	"3807152"	"13,767"	"13,767"	"13,767"	"CAD"	"3,94"	""	"Non"
"ACT CR PME S2-07/S/N"	"FIA111"	"975005"	"Fonds d'actions canadiennes"	"3807152"	"13,767"	"13,767"	"13,767"	"CAD"	"3,94"	""	"Non"
"ACT CROI PME96 /SF/N"	"FIA096"	"994168"	"Fonds d'actions canadiennes"	"3807152"	"13,767"	"13,767"	"13,767"	"CAD"	"3,94"	""	"Non"
"ACT CRS PME S1-06 /N"	"FIA107"	"964142"	"Fonds d'actions canadiennes"	"3807152"	"13,767"	"13,767"	"13,767"	"CAD"	"3,94"	""	"Non"
"ACT CRS PME S103/S/N"	"FIA103"	"975547"	"Fonds d'actions canadiennes"	"3807152"	"13,767"	"13,767"	"13,767"	"CAD"	"3,94"	""	"Non"
"ACT CRS PME S105/S/N"	"FIA105"	"969517"	"Fonds d'actions canadiennes"	"3807152"	"13,767"	"13,767"	"13,767"	"CAD"	"3,94"	""	"Non"
"ACT CRS PME-D /N"	"FIA083"	"994868"	"Fonds d'actions canadiennes"	"3807152"	"13,767"	"13,767"	"13,767"	"CAD"	"3,94"	""	"Non"
"ACTEL CORP"	"ACTL"	"005110"	"Actions ordinaires"	"330"	"11,060"	"11,070"	"11,070"	"USD"	"n/d"	""	"Non"
"ACTIVE ASSETS & ASSC INC*"	"AAA"	"005136"	"Actions ordinaires"	"330"	"0,020"	"0,040"	"0,020"	"CAD"	"n/d"	""	"Non"
"ACTIVE CONTROL TECHNO INC"	"ACT"	"005399"	"Actions ordinaires"	"330"	"0,050"	"0,055"	"0,050"	"CAD"	"n/d"	""	"Non"
"ACTIVISION BLIZZARD INC"	"ATVI"	"005254"	"Actions ordinaires"	"315"	"10,120"	"10,130"	"10,120"	"USD"	"n/d"	""	"Non"
"ACTN CROI PME S100/N"	"FIA100"	"989553"	"Fonds d'actions canadiennes"	"3807152"	"13,767"	"13,767"	"13,767"	"CAD"	"3,94"	""	"Non"
"ACTN CROI PME S101/N"	"FIA101"	"970781"	"Fonds d'actions canadiennes"	"3807152"	"13,767"	"13,767"	"13,767"	"CAD"	"3,94"	""	"Non"
"ACTN CROI PME S102/N"	"FIA102"	"978473"	"Fonds d'actions canadiennes"	"3807152"	"13,767"	"13,767"	"13,767"	"CAD"	"3,94"	""	"Non"
"ACTN CROIS PME S92/N"	"FIA092"	"995039"	"Fonds d'actions canadiennes"	"3807152"	"13,767"	"13,767"	"13,767"	"CAD"	"3,94"	""	"Non"
"ACTN CROIS PME S93/N"	"FIA093"	"994879"	"Fonds d'actions canadiennes"	"3807152"	"13,767"	"13,767"	"13,767"	"CAD"	"3,94"	""	"Non"
"ACTN CROIS PME S94/N"	"FIA094"	"995161"	"Fonds d'actions canadiennes"	"3807152"	"13,767"	"13,767"	"13,767"	"CAD"	"3,94"	""	"Non"
"ACTN CROIS PME S95/N"	"FIA095"	"994914"	"Fonds d'actions canadiennes"	"3807152"	"13,767"	"13,767"	"13,767"	"CAD"	"3,94"	""	"Non"
"ACTN CROIS PME S97/N"	"FIA097"	"994449"	"Fonds d'actions canadiennes"	"3807152"	"13,767"	"13,767"	"13,767"	"CAD"	"3,94"	""	"Non"
"ACTN CROIS PME S98/N"	"FIA098"	"991247"	"Fonds d'actions canadiennes"	"3807152"	"13,767"	"13,767"	"13,767"	"CAD"	"3,94"	""	"Non"
"ACTN CROIS PME S99/N"	"FIA099"	"982697"	"Fonds d'actions canadiennes"	"3807152"	"13,767"	"13,767"	"13,767"	"CAD"	"3,94"	""	"Non"
"ACU ACT CDN /N"	"CEM423"	"987983"	"Fonds d'actions canadiennes"	"3807154"	"20,330"	"20,330"	"20,330"	"CAD"	"1,03"	""	"Non"
"ACU ACT CDN TC30/S/N"	"CEM444"	"985807"	"Autres titres"	"3807153"	"19,936"	"19,936"	"19,936"	"CAD"	"10,43"	""	"Non"
"ACU H/REV /N"	"CEM633"	"985829"	"Fonds de placement équilibré"	"3807155"	"12,363"	"12,363"	"12,363"	"CAD"	"7,77"	""	"Non"
"ACU H/REV PL /SF/N"	"CEM780"	"980548"	"Fonds de placement équilibré"	"3807155"	"17,556"	"17,556"	"17,556"	"CAD"	"7,52"	""	"Non"
"ACU REV FXE /N"	"CEM413"	"985833"	"Fonds de placement équilibré"	"3807703"	"11,257"	"11,257"	"11,257"	"CAD"	"3,55"	""	"Non"
"ACU REV FXE PL /SF/N"	"CEM750"	"980545"	"Fonds de placement équilibré"	"3807703"	"15,309"	"15,309"	"15,309"	"CAD"	"5,75"	""	"Non"
"ACU TC30 A/C CC /N"	"CEM813"	"980848"	"Autres titres"	"3807153"	"7,326"	"7,326"	"7,326"	"CAD"	"n/d"	""	"Non"
"ACUITY ALL CAP & INCM T/U"	"AAI.UN"	"005353"	"Fiducies de redevances"	"3308001"	"9,660"	"9,890"	"9,670"	"CAD"	"0,00"	""	"Non"
"ACUITY FOCUSED T/RET T/U"	"AFU.UN"	"005383"	"Fiducies de redevances"	"3308001"	"5,950"	"5,990"	"5,960"	"CAD"	"6,04"	""	"Non"
"ACUITY GROWTH & INCM T/U"	"AIG.UN"	"005334"	"Fiducies de redevances"	"3308001"	"7,550"	"7,700"	"7,550"	"CAD"	"5,56"	""	"Non"
"ADALTIS INC"	"ADS"	"005639"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"ADANAC MOLYBDENUM CORP"	"AUA"	"005478"	"Actions ordinaires"	"330"	"0,095"	"0,105"	"0,100"	"CAD"	"n/d"	""	"Non"
"ADAPTEC INC"	"ADPT"	"005354"	"Actions ordinaires"	"315"	"3,180"	"3,190"	"3,190"	"USD"	"n/d"	""	"Non"
"ADAPTIVE BROADBAND CORP"	"ADAPQ"	"005327"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,018"	"USD"	"n/d"	""	"Non"
"ADC TELECOMMUNICATION"	"ADCT"	"002286"	"Actions ordinaires"	"315"	"5,900"	"5,910"	"5,910"	"USD"	"n/d"	""	"Non"
"ADDAX PETROLEUM CORP *"	"AXC"	"005413"	"Actions ordinaires"	"330"	"52,700"	"52,790"	"52,710"	"CAD"	"0,76"	""	"Non"
"ADDENDA CAPITAL INC *"	"ADV"	"005364"	"Actions ordinaires"	"330"	"26,470"	"26,500"	"26,500"	"CAD"	"5,13"	""	"Non"
"ADECCO SA UNSPON ADR"	"AHEXY"	"005736"	"Actions ordinaires"	"3308000"	"0,000"	"0,000"	"28,230"	"USD"	"n/d"	""	"Non"
"ADHEREX TECH INC"	"AHX"	"005429"	"Actions ordinaires"	"330"	"0,040"	"0,050"	"0,040"	"CAD"	"n/d"	""	"Non"
"ADHEREX TECH INC *"	""	"005423"	"Actions ordinaires"	"330"	"0,300"	"0,330"	"0,312"	"USD"	"n/d"	""	"Non"
"ADOBE SYS INC"	"ADBE"	"005691"	"Actions ordinaires"	"315"	"34,150"	"34,160"	"34,160"	"USD"	"0,15"	""	"Non"
"ADOBE VENTURES INC *"	"ADO.T"	"005687"	"Actions ordinaires"	"330"	"0,150"	"0,200"	"0,000"	"CAD"	"n/d"	""	"Non"
"ADOBE VENTURES INC - NEW*"	"AV"	"005688"	"Actions ordinaires"	"330"	"0,690"	"0,750"	"0,690"	"CAD"	"n/d"	""	"Non"
"ADTRAN INC"	"ADTN"	"005704"	"Actions ordinaires"	"315"	"21,770"	"21,780"	"21,770"	"USD"	"1,65"	""	"Non"
"ADV O&G SR-D CV7.75%1DC11"	"AAV.DB.D"	"R39769"	"Obligations (autres)"	"2756000"	"103,000"	"104,000"	"104,000"	"CAD"	"7,45"	"5,440350"	"Non"
"ADVAN ENRGY CV 8% 31DC1*"	"AVN.DB.G"	"R41446"	"Débentures convertibles"	"2756000"	"90,000"	"99,000"	"95,000"	"CAD"	"8,42"	"10,934895"	"Non"
"ADVANCED GAMING TECH *"	"ADVI"	"006017"	"Actions ordinaires"	"330"	"0,015"	"0,030"	"0,020"	"USD"	"n/d"	""	"Non"
"ADVANCED MICRO DEVICES IN"	"AMD"	"005876"	"Actions ordinaires"	"315"	"8,070"	"8,080"	"8,070"	"USD"	"n/d"	""	"Non"
"ADVANT CV S-D 7.75% 1DC1*"	"AVN.DB.D"	"R39735"	"Débentures convertibles"	"2756000"	"92,500"	"93,000"	"92,750"	"CAD"	"8,36"	"12,234729"	"Non"
"ADVANTAGE OIL & GAS LTD"	"AAV"	"006010"	"Actions ordinaires"	"315"	"6,960"	"6,980"	"6,980"	"CAD"	"n/d"	""	"Non"
"ADVITECH INC *"	"AVI"	"000279"	"Actions ordinaires"	"330"	"0,010"	"0,015"	"0,010"	"CAD"	"n/d"	""	"Non"
"ADVITECH INC-NEW"	"AVI"	"000332"	"Actions ordinaires"	"330"	"0,065"	"0,070"	"0,065"	"CAD"	"n/d"	""	"Non"
"ADVITECH SOLUTIONS INC A"	""	"000263"	"Actions ordinaires"	"330"	"1,000"	"1,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"ADWALL CAPITAL CORP *"	""	"006000"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"AECON CV RED 7% 30SP14"	"ARE.DB"	"R00100"	"Débentures convertibles"	"2756000"	"107,000"	"107,990"	"107,000"	"CAD"	"6,54"	"5,091005"	"Non"
"AECON GROUP INC"	"ARE"	"006276"	"Actions ordinaires"	"315"	"14,090"	"14,130"	"14,090"	"CAD"	"1,42"	""	"Non"
"AEGON N.V. ORD AMER REG"	"AEG"	"006255"	"Actions ordinaires"	"315"	"6,140"	"6,170"	"6,140"	"USD"	"14,73"	""	"Non"
"AEON COMPANY LTD ADR"	"AONNY"	"006268"	"Actions ordinaires"	"3308000"	"0,000"	"0,000"	"10,050"	"USD"	"0,00"	""	"Non"
"AEROMECHANICAL SVCS LTD"	"AMA"	"006315"	"Actions ordinaires"	"330"	"0,450"	"0,490"	"0,450"	"CAD"	"n/d"	""	"Non"
"AES CORP"	"AES"	"000409"	"Actions ordinaires"	"315"	"13,390"	"13,400"	"13,410"	"USD"	"0,00"	""	"Non"
"AES TR III 6.75% CV PFD"	"AES.PR.C"	"000768"	"Actions privilégiées"	"310"	"46,280"	"46,550"	"46,300"	"USD"	"7,29"	""	"Non"
"AETERNA ZENTARIS INC"	"AEZ"	"392480"	"Actions ordinaires"	"330"	"0,980"	"1,000"	"0,990"	"CAD"	"n/d"	""	"Non"
"AETNA INC"	"AET"	"006575"	"Actions ordinaires"	"315"	"30,940"	"30,960"	"30,970"	"USD"	"0,13"	""	"Non"
"AFFYMETRIX INC"	"AFFX"	"006614"	"Actions ordinaires"	"315"	"5,660"	"5,670"	"5,670"	"USD"	"n/d"	""	"Non"
"AFLAC INC"	"AFL"	"006596"	"Actions ordinaires"	"315"	"50,190"	"50,200"	"50,180"	"USD"	"2,23"	""	"Non"
"AFTON FOOD GROUP"	"AFF"	"006652"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"n/d"	""	"Non"
"AG GROWTH CV 7% 31DC14"	"AFN.DB"	"R00066"	"Débentures convertibles"	"2756000"	"105,500"	"105,850"	"105,850"	"CAD"	"6,61"	"5,464898"	"Non"
"AGCO CORP"	"AGCO"	"006645"	"Actions ordinaires"	"315"	"32,070"	"32,090"	"32,070"	"USD"	"0,00"	""	"Non"
"AGERE SYSTEMS INC"	"AGR"	"006841"	"Actions ordinaires"	"315"	"22,500"	"22,620"	"22,620"	"USD"	"n/d"	""	"Non"
"AGF ACT CRS CDN /S/N"	"AGF934"	"991064"	"Fonds d'actions canadiennes"	"3807152"	"52,520"	"52,520"	"52,520"	"CAD"	"n/d"	""	"Non"
"AGF ACT EURO /N"	"AGF811"	"981242"	"Fonds d'actions européennes"	"3807450"	"25,220"	"25,220"	"25,220"	"CAD"	"n/d"	""	"Non"
"AGF ACT EURO /S/N"	"AGF812"	"980955"	"Fonds d'actions européennes"	"3807450"	"25,220"	"25,220"	"25,220"	"CAD"	"n/d"	""	"Non"
"AGF ACT EURO U$ /S/N"	"AGF712"	"980961"	"Fonds d'actions européennes"	"3807450"	"23,840"	"23,840"	"23,840"	"USD"	"n/d"	""	"Non"
"AGF ACT IMM MDL /S/N"	"AGF916"	"990070"	"Fonds immobilier"	"3807640"	"8,670"	"8,670"	"8,670"	"CAD"	"n/d"	""	"Non"
"AGF ACT MDL /S/N"	"AGF960"	"991011"	"Fonds d'actions globales"	"3807500"	"8,460"	"8,460"	"8,460"	"CAD"	"n/d"	""	"Non"
"AGF ACT MDL /S/N"	"AGF304"	"994245"	"Fonds d'actions globales"	"3807500"	"16,420"	"16,420"	"16,420"	"CAD"	"n/d"	""	"Non"
"AGF AGGR JPN CL /N"	"AGF266"	"988589"	"Fonds d'actions - Asie et côte pacifique"	"3807410"	"1,750"	"1,750"	"1,750"	"CAD"	"n/d"	""	"Non"
"AGF ALLEMAG-B S/N"	"AGF970"	"991129"	"Fonds de placement spéciaux"	"3807950"	"33,710"	"33,710"	"33,710"	"CAD"	"n/d"	""	"Non"
"AGF AMER T-A/A SP /D"	"AGF780"	"980997"	"Fonds d'investissement"	"3807600"	"23,570"	"23,570"	"23,570"	"CAD"	"0,95"	""	"Non"
"AGF ASIAN GWTH /D"	"CAGF944"	"006681"	"Fonds d'actions - Asie et côte pacifique"	"3807400"	"9,330"	"9,330"	"9,330"	"CAD"	"n/d"	""	"Non"
