"Description"	"Symbole"	"Titre"	"Sous-catégorie"	"Type"	"Acheteur"	"Vendeur"	"Clôture"	"Devise prix"	"RM (%)"	"Rend. éché. - Marché (%)"	"Exclu de la facturation"
"DYN CDN H/YL BD II/N"	"DYN017"	"924945"	"Fonds de valeurs à revenu fixe"	"3807680"	"5,110"	"5,110"	"5,110"	"CAD"	"n/d"	""	"Non"
"DYN CHINE ELRG /S/N"	"DYN9442"	"987420"	"Fonds d'actions - Asie et côte pacifique"	"3807420"	"14,200"	"14,200"	"14,200"	"CAD"	"n/d"	""	"Non"
"DYN CRS PWR CDN /S/N"	"DYN053"	"994639"	"Fonds d'actions canadiennes"	"3807154"	"20,020"	"20,020"	"20,020"	"CAD"	"n/d"	""	"Non"
"DYN CT MDL VAL PGD/N"	"DYN9552"	"941001"	"Fonds d'actions globales"	"3807500"	"3,040"	"3,040"	"3,040"	"CAD"	"n/d"	""	"Non"
"DYN CT VAL CD-F/SF/N"	"DYN233"	"976229"	"Fonds d'actions canadiennes"	"3807154"	"13,930"	"13,930"	"13,930"	"CAD"	"0,81"	""	"Non"
"DYN DCAF DIV INCM /N"	"DYN876"	"969512"	"Fonds d'actions canadiennes"	"3807155"	"9,440"	"9,440"	"9,440"	"CAD"	"0,03"	""	"Non"
"DYN DCAF M/PR/FR/S/N"	"DYN146"	"970377"	"Fonds de matières premières"	"3807670"	"9,440"	"9,440"	"9,440"	"CAD"	"0,03"	""	"Non"
"DYN DECOUV MDL /N"	"DYN9154"	"987168"	"Fonds d'actions globales"	"3807500"	"15,250"	"15,250"	"15,250"	"CAD"	"5,55"	""	"Non"
"DYN DECOUV MDL /FR/N"	"DYN3154"	"940704"	"Fonds d'actions globales"	"3807500"	"15,250"	"15,250"	"15,250"	"CAD"	"5,55"	""	"Non"
"DYN DIV /S/N"	"DYN748"	"994625"	"Fonds de dividendes"	"3807725"	"8,000"	"8,000"	"8,000"	"CAD"	"2,70"	""	"Non"
"DYN DIV CDN /N"	"DYN1040"	"930262"	"Fonds d'actions canadiennes"	"3807154"	"13,220"	"13,220"	"13,220"	"CAD"	"4,54"	""	"Non"
"DYN DIV CDN /S/N"	"DYN1250"	"930263"	"Fonds d'actions canadiennes"	"3807154"	"13,220"	"13,220"	"13,220"	"CAD"	"4,54"	""	"Non"
"DYN DIV MDL-A /N"	"DYN031"	"940149"	"Fonds d'actions globales"	"3807500"	"9,760"	"9,760"	"9,760"	"CAD"	"0,05"	""	"Non"
"DYN EQL FOC+ /S/N"	"DYN312"	"970755"	"Fonds de placement équilibré"	"3807720"	"11,410"	"11,410"	"11,410"	"CAD"	"0,24"	""	"Non"
"DYN EQL FOC+ /FR/S/N"	"DYN212"	"970760"	"Fonds de placement équilibré"	"3807720"	"11,410"	"11,410"	"11,410"	"CAD"	"0,24"	""	"Non"
"DYN EQL PWR /FR/S/N"	"DYN601"	"970304"	"Fonds de placement équilibré"	"3807720"	"8,080"	"8,080"	"8,080"	"CAD"	"1,00"	""	"Non"
"DYN EQL VAL-A/FR/S/N"	"DYN443"	"942471"	"Fonds de placement équilibré"	"3807550"	"10,780"	"10,780"	"10,780"	"CAD"	"0,51"	""	"Non"
"DYN EQUIL VAL /N"	"DYN9194"	"982608"	"Fonds de placement équilibré"	"3807550"	"18,190"	"18,190"	"18,190"	"CAD"	"2,31"	""	"Non"
"DYN EQUIL VAL /S/N"	"DYN9494"	"986094"	"Fonds de placement équilibré"	"3807550"	"18,190"	"18,190"	"18,190"	"CAD"	"2,31"	""	"Non"
"DYN FAPD VAL EQL/S/N"	"DYN939"	"940675"	"Fonds de placement équilibré"	"3807720"	"9,440"	"9,440"	"9,440"	"CAD"	"0,03"	""	"Non"
"DYN FD VAL DU CDA /N"	"DYN040"	"994669"	"Fonds d'actions canadiennes"	"3807154"	"34,680"	"34,680"	"34,680"	"CAD"	"3,47"	""	"Non"
"DYN FUND OF FNDS"	"DYN059C"	"994686"	"Fonds de placement en répartition de l'actif"	"3807715"	"9,770"	"9,770"	"9,770"	"CAD"	"n/d"	""	"Non"
"DYN GES RCH FOC+ /N"	"DYN201"	"998176"	"Fonds d'actions globales"	"3807620"	"13,190"	"13,190"	"13,190"	"CAD"	"0,07"	""	"Non"
"DYN INF MD DCAF/FR/N"	"DYN2221"	"967006"	"Fonds de placement spéciaux"	"3807950"	"9,440"	"9,440"	"9,440"	"CAD"	"0,03"	""	"Non"
"DYN INFS MDL /FR/S/N"	"DYN2211"	"967003"	"Fonds de placement spéciaux"	"3807950"	"9,220"	"9,220"	"9,220"	"CAD"	"0,48"	""	"Non"
"DYN ISRAEL GW U$*D/N"	"DYN789"	"992962"	"Fonds de placement spéciaux"	"3807950"	"7,513"	"7,513"	"7,513"	"USD"	"n/d"	""	"Non"
"DYN ISRAEL GWTH FUNDU$*/D"	"CDYN789"	"239099"	"Fonds de placement spéciaux"	"3807950"	"7,100"	"7,350"	"0,000"	"USD"	"4,79"	""	"Non"
"DYN MARCHE MON /N"	"DYN9193"	"982607"	"Fonds de valeurs du marché monétaire canadien"	"3807850"	"10,000"	"10,000"	"10,000"	"CAD"	"0,05"	""	"Non"
"DYN MCH MON /S/N"	"DYN728"	"993615"	"Fonds de valeurs du marché monétaire canadien"	"3807850"	"5,870"	"5,870"	"5,870"	"CAD"	"2,06"	""	"Non"
"DYN MET PREC /S/N"	"DYN746"	"994688"	"Fonds d'actions - ressources canadiennes"	"3807670"	"7,140"	"7,140"	"7,140"	"CAD"	"1,42"	""	"Non"
"DYN MET PREC /FR/S/N"	"DYN646"	"970317"	"Fonds d'actions - ressources canadiennes"	"3807670"	"7,140"	"7,140"	"7,140"	"CAD"	"1,42"	""	"Non"
"DYN OBL ADV FD /N"	"DYN258"	"943125"	"Fonds d'obligations canadiennes et fonds à revenu"	"3807700"	"4,990"	"4,990"	"4,990"	"CAD"	"4,57"	""	"Non"
"DYN OBL H/REND /N"	"DYN9105"	"998042"	"Fonds de valeurs à revenu fixe"	"3807680"	"2,290"	"2,290"	"2,290"	"CAD"	"8,38"	""	"Non"
"DYN OBL H/REND /S/N"	"DYN9405"	"983012"	"Fonds de valeurs à revenu fixe"	"3807680"	"2,290"	"2,290"	"2,290"	"CAD"	"8,38"	""	"Non"
"DYN OBL H/RND /FR2/N"	"DYN435"	"943084"	"Fonds de valeurs à revenu fixe"	"3807680"	"2,290"	"2,290"	"2,290"	"CAD"	"8,38"	""	"Non"
